province,date,temp_max,temp_min,wind_speed,precipitation,humidity
HO CHI MINH,2009-01-01,29.0,22.0,6.0,18.5,89.0
HO CHI MINH,2010-01-01,34.0,24.0,5.0,0.0,59.0
HO CHI MINH,2011-01-01,29.0,23.0,4.0,0.2,81.0
HO CHI MINH,2012-01-01,32.0,23.0,7.0,1.8,76.0
HO CHI MINH,2013-01-01,33.0,24.0,4.0,0.0,69.0
HO CHI MINH,2014-01-01,29.0,21.0,5.0,0.0,72.0
HO CHI MINH,2015-01-01,31.0,22.0,5.0,0.2,72.0
HO CHI MINH,2016-01-01,34.0,23.0,7.0,0.0,57.0
HO CHI MINH,2017-01-01,32.0,24.0,7.0,1.9,74.0
HO CHI MINH,2018-01-01,33.0,23.0,5.0,0.0,59.0
HO CHI MINH,2019-01-01,29.0,24.0,17.0,3.3,66.0
HO CHI MINH,2020-01-01,35.0,24.0,9.0,0.0,51.0
HO CHI MINH,2021-01-01,30.0,23.0,8.0,0.0,63.0
HO CHI MINH,2009-01-03,25.0,22.0,6.0,7.2,87.0
HO CHI MINH,2010-01-03,33.0,26.0,7.0,0.0,65.0
HO CHI MINH,2011-01-03,33.0,23.0,4.0,0.1,73.0
HO CHI MINH,2012-01-03,30.0,23.0,6.0,0.1,79.0
HO CHI MINH,2013-01-03,34.0,25.0,3.0,5.2,68.0
HO CHI MINH,2014-01-03,32.0,22.0,5.0,0.0,74.0
HO CHI MINH,2015-01-03,32.0,22.0,6.0,0.0,67.0
HO CHI MINH,2016-01-03,33.0,25.0,7.0,3.4,70.0
HO CHI MINH,2017-01-03,33.0,23.0,8.0,0.0,70.0
HO CHI MINH,2018-01-03,34.0,24.0,6.0,0.0,64.0
HO CHI MINH,2019-01-03,31.0,23.0,15.0,3.5,73.0
HO CHI MINH,2020-01-03,35.0,25.0,7.0,0.0,59.0
HO CHI MINH,2021-01-03,31.0,24.0,4.0,2.5,70.0
HO CHI MINH,2009-01-04,29.0,21.0,4.0,0.5,83.0
HO CHI MINH,2010-01-04,35.0,25.0,9.0,0.1,61.0
HO CHI MINH,2011-01-04,28.0,24.0,4.0,2.8,83.0
HO CHI MINH,2012-01-04,31.0,23.0,5.0,0.1,77.0
HO CHI MINH,2013-01-04,32.0,25.0,4.0,0.5,70.0
HO CHI MINH,2014-01-04,33.0,23.0,6.0,3.0,74.0
HO CHI MINH,2015-01-04,32.0,24.0,4.0,0.0,71.0
HO CHI MINH,2016-01-04,30.0,24.0,5.0,0.6,74.0
HO CHI MINH,2017-01-04,32.0,23.0,8.0,4.4,71.0
HO CHI MINH,2018-01-04,34.0,25.0,6.0,0.0,66.0
HO CHI MINH,2019-01-04,32.0,25.0,18.0,0.0,71.0
HO CHI MINH,2020-01-04,34.0,24.0,5.0,0.0,61.0
HO CHI MINH,2021-01-04,32.0,24.0,8.0,0.0,68.0
HO CHI MINH,2009-01-05,31.0,21.0,5.0,0.0,77.0
HO CHI MINH,2010-01-05,35.0,26.0,10.0,0.0,57.0
HO CHI MINH,2011-01-05,32.0,24.0,6.0,2.5,74.0
HO CHI MINH,2012-01-05,33.0,23.0,5.0,0.0,76.0
HO CHI MINH,2013-01-05,29.0,22.0,5.0,0.0,72.0
HO CHI MINH,2014-01-05,31.0,23.0,6.0,1.7,79.0
HO CHI MINH,2015-01-05,33.0,24.0,5.0,1.1,70.0
HO CHI MINH,2016-01-05,33.0,25.0,8.0,0.4,66.0
HO CHI MINH,2017-01-05,32.0,24.0,9.0,1.6,72.0
HO CHI MINH,2018-01-05,33.0,26.0,9.0,0.1,70.0
HO CHI MINH,2019-01-05,32.0,25.0,16.0,0.0,68.0
HO CHI MINH,2020-01-05,35.0,25.0,6.0,0.0,60.0
HO CHI MINH,2021-01-05,26.0,25.0,5.0,3.4,77.0
HO CHI MINH,2009-01-06,32.0,22.0,5.0,0.3,77.0
HO CHI MINH,2010-01-06,34.0,25.0,12.0,0.0,56.0
HO CHI MINH,2011-01-06,33.0,23.0,7.0,3.2,74.0
HO CHI MINH,2012-01-06,33.0,23.0,6.0,0.4,74.0
HO CHI MINH,2013-01-06,26.0,22.0,8.0,8.8,84.0
HO CHI MINH,2014-01-06,30.0,23.0,6.0,0.2,76.0
HO CHI MINH,2015-01-06,33.0,25.0,6.0,4.7,74.0
HO CHI MINH,2016-01-06,34.0,25.0,13.0,0.1,67.0
HO CHI MINH,2017-01-06,32.0,24.0,10.0,1.5,69.0
HO CHI MINH,2018-01-06,33.0,25.0,14.0,0.0,72.0
HO CHI MINH,2019-01-06,34.0,25.0,13.0,0.0,63.0
HO CHI MINH,2020-01-06,33.0,25.0,7.0,0.0,59.0
HO CHI MINH,2021-01-06,29.0,24.0,6.0,0.0,73.0
HO CHI MINH,2009-01-08,31.0,22.0,7.0,0.0,74.0
HO CHI MINH,2010-01-08,35.0,24.0,6.0,0.0,57.0
HO CHI MINH,2011-01-08,32.0,22.0,5.0,0.0,72.0
HO CHI MINH,2012-01-08,31.0,22.0,7.0,0.0,68.0
HO CHI MINH,2013-01-08,31.0,23.0,7.0,1.7,82.0
HO CHI MINH,2014-01-08,31.0,25.0,6.0,0.0,70.0
HO CHI MINH,2015-01-08,33.0,25.0,6.0,0.0,69.0
HO CHI MINH,2016-01-08,33.0,25.0,13.0,0.0,65.0
HO CHI MINH,2017-01-08,33.0,24.0,15.0,0.0,68.0
HO CHI MINH,2018-01-08,34.0,26.0,10.0,0.0,69.0
HO CHI MINH,2019-01-08,32.0,24.0,9.0,0.1,64.0
HO CHI MINH,2020-01-08,34.0,25.0,9.0,0.0,59.0
HO CHI MINH,2021-01-08,33.0,25.0,6.0,0.0,65.0
HO CHI MINH,2009-01-07,32.0,23.0,5.0,3.8,81.0
HO CHI MINH,2010-01-07,35.0,25.0,10.0,0.0,55.0
HO CHI MINH,2011-01-07,29.0,21.0,6.0,0.5,75.0
HO CHI MINH,2012-01-07,31.0,23.0,8.0,0.6,72.0
HO CHI MINH,2013-01-07,27.0,23.0,8.0,17.0,91.0
HO CHI MINH,2014-01-07,32.0,22.0,6.0,0.2,70.0
HO CHI MINH,2015-01-07,33.0,24.0,6.0,1.4,74.0
HO CHI MINH,2016-01-07,34.0,25.0,12.0,0.0,65.0
HO CHI MINH,2017-01-07,32.0,24.0,14.0,2.0,70.0
HO CHI MINH,2018-01-07,33.0,25.0,11.0,0.0,71.0
HO CHI MINH,2019-01-07,35.0,25.0,10.0,0.0,59.0
HO CHI MINH,2020-01-07,33.0,25.0,9.0,0.1,61.0
HO CHI MINH,2021-01-07,33.0,25.0,4.0,0.0,68.0
HO CHI MINH,2009-01-10,28.0,18.0,11.0,0.0,66.0
HO CHI MINH,2010-01-10,33.0,25.0,6.0,1.3,62.0
HO CHI MINH,2011-01-10,32.0,22.0,5.0,0.0,70.0
HO CHI MINH,2012-01-10,30.0,23.0,8.0,0.1,71.0
HO CHI MINH,2013-01-10,32.0,24.0,7.0,8.1,81.0
HO CHI MINH,2014-01-10,32.0,23.0,6.0,0.0,66.0
HO CHI MINH,2015-01-10,33.0,24.0,5.0,0.0,68.0
HO CHI MINH,2016-01-10,34.0,25.0,13.0,0.0,65.0
HO CHI MINH,2017-01-10,33.0,25.0,9.0,0.4,71.0
HO CHI MINH,2018-01-10,33.0,25.0,7.0,3.9,65.0
HO CHI MINH,2019-01-10,33.0,25.0,12.0,0.0,62.0
HO CHI MINH,2020-01-10,34.0,25.0,10.0,0.0,62.0
HO CHI MINH,2021-01-10,32.0,22.0,5.0,0.0,61.0
HO CHI MINH,2009-01-11,28.0,18.0,9.0,0.0,69.0
HO CHI MINH,2010-01-11,35.0,25.0,6.0,0.1,61.0
HO CHI MINH,2011-01-11,32.0,22.0,4.0,0.0,73.0
HO CHI MINH,2012-01-11,28.0,24.0,8.0,0.4,75.0
HO CHI MINH,2013-01-11,33.0,24.0,6.0,2.8,75.0
HO CHI MINH,2014-01-11,33.0,24.0,5.0,0.0,63.0
HO CHI MINH,2015-01-11,33.0,24.0,5.0,0.1,69.0
HO CHI MINH,2016-01-11,33.0,25.0,8.0,0.0,68.0
HO CHI MINH,2017-01-11,31.0,25.0,7.0,3.0,75.0
HO CHI MINH,2018-01-11,35.0,25.0,7.0,0.0,57.0
HO CHI MINH,2019-01-11,33.0,25.0,8.0,0.0,61.0
HO CHI MINH,2020-01-11,34.0,24.0,8.0,0.0,64.0
HO CHI MINH,2021-01-11,33.0,23.0,6.0,0.0,59.0
HO CHI MINH,2009-01-12,29.0,19.0,5.0,0.0,69.0
HO CHI MINH,2010-01-12,34.0,25.0,7.0,0.0,61.0
HO CHI MINH,2011-01-12,32.0,23.0,4.0,0.4,75.0
HO CHI MINH,2012-01-12,32.0,23.0,8.0,3.1,75.0
HO CHI MINH,2013-01-12,33.0,24.0,6.0,0.0,71.0
HO CHI MINH,2014-01-12,33.0,25.0,4.0,1.4,70.0
HO CHI MINH,2015-01-12,34.0,24.0,6.0,2.0,70.0
HO CHI MINH,2016-01-12,34.0,25.0,13.0,0.0,68.0
HO CHI MINH,2017-01-12,32.0,25.0,8.0,0.0,75.0
HO CHI MINH,2018-01-12,33.0,23.0,10.0,0.0,54.0
HO CHI MINH,2019-01-12,34.0,25.0,7.0,1.8,62.0
HO CHI MINH,2020-01-12,33.0,24.0,8.0,0.0,67.0
HO CHI MINH,2021-01-12,31.0,22.0,10.0,0.0,56.0
HO CHI MINH,2009-01-15,30.0,18.0,8.0,0.0,65.0
HO CHI MINH,2010-01-15,33.0,22.0,7.0,0.0,60.0
HO CHI MINH,2011-01-15,33.0,23.0,5.0,0.0,71.0
HO CHI MINH,2012-01-15,32.0,24.0,11.0,2.1,72.0
